frame,tx,ty,tz
160,-0.0251303,-0.564516,-1.86527
161,-0.0251303,-0.564516,-1.86527
162,-0.0251303,-0.564516,-1.86527
163,-0.0251303,-0.564516,-1.86527
164,-0.0251303,-0.564516,-1.86527
165,-0.0251303,-0.564516,-1.86527
166,-0.0251303,-0.564516,-1.86527
167,-0.0251303,-0.564516,-1.86527
168,-0.0251303,-0.564516,-1.86527
169,-0.0251303,-0.564516,-1.86527
170,-0.0251303,-0.564516,-1.86527
171,-0.0251303,-0.564516,-1.86527
172,-0.0251303,-0.564516,-1.86527
173,-0.0251303,-0.564516,-1.86527
174,-0.0251303,-0.564516,-1.86527
175,-0.0251303,-0.564516,-1.86527
176,-0.0251303,-0.564516,-1.86527
177,-0.0251303,-0.564516,-1.86527
178,-0.0251303,-0.564516,-1.86527
179,-0.0251303,-0.564516,-1.86527
180,-0.0251303,-0.564516,-1.86527
181,-0.0251303,-0.564516,-1.86527
182,-0.0251303,-0.564516,-1.86527
183,-0.0251303,-0.564516,-1.86527
184,-0.0251303,-0.564516,-1.86527
185,-0.0251303,-0.564516,-1.86527
186,-0.0251303,-0.564516,-1.86527
187,-0.0251303,-0.564516,-1.86527
188,-0.0251303,-0.564516,-1.86527
189,-0.0251303,-0.564516,-1.86527
190,-0.0251303,-0.564516,-1.86527
191,-0.0251303,-0.564516,-1.86527
192,-0.0251303,-0.564516,-1.86527
193,-0.0251303,-0.564516,-1.86527
194,-0.0251303,-0.564516,-1.86527
195,-0.0251303,-0.564516,-1.86527
196,-0.0251303,-0.564516,-1.86527
197,-0.0251303,-0.564516,-1.86527
198,-0.0251303,-0.564516,-1.86527
199,-0.0251303,-0.564516,-1.86527
200,-0.0251303,-0.564516,-1.86527
201,-0.0251303,-0.564516,-1.86527
202,-0.0251303,-0.564516,-1.86527
203,-0.0251303,-0.564516,-1.86527
204,-0.0251303,-0.564516,-1.86527
205,-0.0251303,-0.564516,-1.86527
206,-0.0251303,-0.564516,-1.86527
207,-0.0251303,-0.564516,-1.86527
208,-0.0251303,-0.564516,-1.86527
209,-0.0251303,-0.564516,-1.86527
210,-0.0251303,-0.564516,-1.86527
211,-0.0251303,-0.564516,-1.86527
212,-0.0251303,-0.564516,-1.86527
213,-0.0251303,-0.564516,-1.86527
214,-0.0251303,-0.564516,-1.86527
215,-0.0251303,-0.564516,-1.86527
216,-0.0251303,-0.564516,-1.86527
217,-0.0251303,-0.564516,-1.86527
218,-0.0251303,-0.564516,-1.86527
219,-0.0251303,-0.564516,-1.86527
220,-0.0251303,-0.564516,-1.86527
221,-0.0251303,-0.564516,-1.86527
222,-0.0251303,-0.564516,-1.86527
223,-0.0251303,-0.564516,-1.86527
224,-0.0251303,-0.564516,-1.86527
225,-0.0251303,-0.564516,-1.86527
226,-0.0251303,-0.564516,-1.86527
227,-0.0251303,-0.564516,-1.86527
228,-0.0251303,-0.564516,-1.86527
229,-0.0251303,-0.564516,-1.86527
230,-0.0251303,-0.564516,-1.86527
231,-0.0251303,-0.564516,-1.86527
232,-0.0251303,-0.564516,-1.86527
233,-0.0251303,-0.564516,-1.86527
234,-0.0251303,-0.564516,-1.86527
235,-0.0251303,-0.564516,-1.86527
236,-0.0251303,-0.564516,-1.86527
237,-0.0251303,-0.564516,-1.86527
238,-0.0251303,-0.564516,-1.86527
239,-0.0251303,-0.564516,-1.86527
240,-0.0251303,-0.564516,-1.86527
241,-0.0251303,-0.564516,-1.86527
242,-0.0251303,-0.564516,-1.86527
243,-0.0251303,-0.564516,-1.86527
244,-0.0251303,-0.564516,-1.86527
245,-0.0251303,-0.564516,-1.86527
246,-0.0251303,-0.564516,-1.86527
247,-0.0251303,-0.564516,-1.86527
248,-0.0251303,-0.564516,-1.86527
249,-0.0251303,-0.564516,-1.86527
250,-0.0251303,-0.564516,-1.86527
251,-0.0251303,-0.564516,-1.86527
252,-0.0251303,-0.564516,-1.86527
253,-0.0251303,-0.564516,-1.86527
254,-0.0251303,-0.564516,-1.86527
255,-0.0251303,-0.564516,-1.86527
256,-0.0251303,-0.564516,-1.86527
257,-0.0251303,-0.564516,-1.86527
258,-0.0251303,-0.564516,-1.86527
259,-0.0251303,-0.564516,-1.86527
260,-0.0251303,-0.564516,-1.86527
261,-0.0251303,-0.564516,-1.86527
262,-0.0251303,-0.564516,-1.86527
263,-0.0251303,-0.564516,-1.86527
264,-0.0251303,-0.564516,-1.86527
265,-0.0251303,-0.564516,-1.86527
266,-0.0251303,-0.564516,-1.86527
267,-0.0251303,-0.564516,-1.86527
268,-0.0251303,-0.564516,-1.86527
269,-0.0251303,-0.564516,-1.86527
270,-0.0251303,-0.564516,-1.86527
271,-0.0251303,-0.564516,-1.86527
272,-0.0251303,-0.564516,-1.86527
273,-0.0251303,-0.564516,-1.86527
274,-0.0251303,-0.564516,-1.86527
275,-0.0251303,-0.564516,-1.86527
276,-0.0251303,-0.564516,-1.86527
277,-0.0251303,-0.564516,-1.86527
278,-0.0251303,-0.564516,-1.86527
279,-0.0251303,-0.564516,-1.86527
280,-0.0251303,-0.564516,-1.86527
281,-0.0251303,-0.564516,-1.86527
282,-0.0251303,-0.564516,-1.86527
283,-0.0251303,-0.564516,-1.86527
284,-0.0251303,-0.564516,-1.86527
285,-0.0251303,-0.564516,-1.86527
286,-0.0251303,-0.564516,-1.86527
287,-0.0251303,-0.564516,-1.86527
288,-0.0251303,-0.564516,-1.86527
289,-0.0251303,-0.564516,-1.86527
290,-0.0251303,-0.564516,-1.86527
291,-0.0251303,-0.564516,-1.86527
292,-0.0251303,-0.564516,-1.86527
293,-0.0251303,-0.564516,-1.86527
294,-0.0251303,-0.564516,-1.86527
295,-0.0251303,-0.564516,-1.86527
296,-0.0251303,-0.564516,-1.86527
297,-0.0251303,-0.564516,-1.86527
298,-0.0251303,-0.564516,-1.86527
299,-0.0251303,-0.564516,-1.86527
300,-0.0251303,-0.564516,-1.86527
301,-0.0251303,-0.564516,-1.86527
302,-0.0251303,-0.564516,-1.86527
303,-0.0251303,-0.564516,-1.86527
304,-0.0251303,-0.564516,-1.86527
305,-0.0251303,-0.564516,-1.86527
306,-0.0251303,-0.564516,-1.86527
307,-0.0251303,-0.564516,-1.86527
308,-0.0251303,-0.564516,-1.86527
309,-0.0251303,-0.564516,-1.86527
310,-0.0251303,-0.564516,-1.86527
311,-0.0251303,-0.564516,-1.86527
312,-0.0251303,-0.564516,-1.86527
313,-0.0251303,-0.564516,-1.86527
314,-0.0251303,-0.564516,-1.86527
315,-0.0251303,-0.564516,-1.86527
316,-0.0251303,-0.564516,-1.86527
317,-0.0251303,-0.564516,-1.86527
318,-0.0251303,-0.564516,-1.86527
319,-0.0251303,-0.564516,-1.86527
320,-0.0251303,-0.564516,-1.86527
321,-0.0251303,-0.564516,-1.86527
322,-0.0251303,-0.564516,-1.86527
323,-0.0251303,-0.564516,-1.86527
324,-0.0251303,-0.564516,-1.86527
325,-0.0251303,-0.564516,-1.86527
326,-0.0251303,-0.564516,-1.86527
327,-0.0251303,-0.564516,-1.86527
328,-0.0251303,-0.564516,-1.86527
329,-0.0251303,-0.564516,-1.86527
330,-0.0251303,-0.564516,-1.86527
331,-0.0251303,-0.564516,-1.86527
332,-0.0251303,-0.564516,-1.86527
333,-0.0251303,-0.564516,-1.86527
334,-0.0251303,-0.564516,-1.86527
335,-0.0251303,-0.564516,-1.86527
336,-0.0251303,-0.564516,-1.86527
337,-0.0251303,-0.564516,-1.86527
338,-0.0251303,-0.564516,-1.86527
339,-0.0251303,-0.564516,-1.86527
340,-0.0251303,-0.564516,-1.86527
341,-0.0251303,-0.564516,-1.86527
342,-0.0251303,-0.564516,-1.86527
343,-0.0251303,-0.564516,-1.86527
344,-0.0251303,-0.564516,-1.86527
345,-0.0251303,-0.564516,-1.86527
346,-0.0251303,-0.564516,-1.86527
347,-0.0251303,-0.564516,-1.86527
348,-0.0251303,-0.564516,-1.86527
349,-0.0251303,-0.564516,-1.86527
350,-0.0251303,-0.564516,-1.86527
351,-0.0251303,-0.564516,-1.86527
352,-0.0251303,-0.564516,-1.86527
353,-0.0251303,-0.564516,-1.86527
354,-0.0251303,-0.564516,-1.86527
355,-0.0251303,-0.564516,-1.86527
356,-0.0251303,-0.564516,-1.86527
357,-0.0251303,-0.564516,-1.86527
358,-0.0251303,-0.564516,-1.86527
359,-0.0251303,-0.564516,-1.86527
360,-0.0251303,-0.564516,-1.86527
361,-0.0251303,-0.564516,-1.86527
362,-0.0251303,-0.564516,-1.86527
363,-0.0251303,-0.564516,-1.86527
364,-0.0251303,-0.564516,-1.86527
365,-0.0251303,-0.564516,-1.86527
366,-0.0251303,-0.564516,-1.86527
367,-0.0251303,-0.564516,-1.86527
368,-0.0251303,-0.564516,-1.86527
369,-0.0251303,-0.564516,-1.86527
370,-0.0251303,-0.564516,-1.86527
371,-0.0251303,-0.564516,-1.86527
372,-0.0251303,-0.564516,-1.86527
373,-0.0251303,-0.564516,-1.86527
374,-0.0251303,-0.564516,-1.86527
375,-0.0251303,-0.564516,-1.86527
376,-0.0251303,-0.564516,-1.86527
377,-0.0251303,-0.564516,-1.86527
378,-0.0251303,-0.564516,-1.86527
379,-0.0251303,-0.564516,-1.86527
380,-0.0251303,-0.564516,-1.86527
381,-0.0251303,-0.564516,-1.86527
382,-0.0251303,-0.564516,-1.86527
383,-0.0251303,-0.564516,-1.86527
384,-0.0251303,-0.564516,-1.86527
385,-0.0251303,-0.564516,-1.86527
386,-0.0251303,-0.564516,-1.86527
387,-0.0251303,-0.564516,-1.86527
388,-0.0251303,-0.564516,-1.86527
389,-0.0251303,-0.564516,-1.86527
390,-0.0251303,-0.564516,-1.86527
391,-0.0251303,-0.564516,-1.86527
392,-0.0251303,-0.564516,-1.86527
393,-0.0251303,-0.564516,-1.86527
394,-0.0251303,-0.564516,-1.86527
395,-0.0251303,-0.564516,-1.86527
396,-0.0251303,-0.564516,-1.86527
397,-0.0251303,-0.564516,-1.86527
398,-0.0251303,-0.564516,-1.86527
399,-0.0251303,-0.564516,-1.86527
400,-0.0251303,-0.564516,-1.86527
401,-0.0251303,-0.564516,-1.86527
402,-0.0251303,-0.564516,-1.86527
403,-0.0251303,-0.564516,-1.86527
404,-0.0251303,-0.564516,-1.86527
405,-0.0251303,-0.564516,-1.86527
406,-0.0251303,-0.564516,-1.86527
407,-0.0251303,-0.564516,-1.86527
408,-0.0251303,-0.564516,-1.86527
409,-0.0251303,-0.564516,-1.86527
410,-0.0251303,-0.564516,-1.86527
411,-0.0251303,-0.564516,-1.86527
412,-0.0251303,-0.564516,-1.86527
413,-0.0251303,-0.564516,-1.86527
414,-0.0251303,-0.564516,-1.86527
415,-0.0251303,-0.564516,-1.86527
416,-0.0251303,-0.564516,-1.86527
417,-0.0251303,-0.564516,-1.86527
418,-0.0251303,-0.564516,-1.86527
419,-0.0251303,-0.564516,-1.86527
420,-0.0251303,-0.564516,-1.86527
421,-0.0251303,-0.564516,-1.86527
422,-0.0251303,-0.564516,-1.86527
423,-0.0251303,-0.564516,-1.86527
424,-0.0251303,-0.564516,-1.86527
425,-0.0251303,-0.564516,-1.86527
426,-0.0251303,-0.564516,-1.86527
427,-0.0251303,-0.564516,-1.86527
428,-0.0251303,-0.564516,-1.86527
429,-0.0251303,-0.564516,-1.86527
430,-0.0251303,-0.564516,-1.86527
431,-0.0251303,-0.564516,-1.86527
432,-0.0251303,-0.564516,-1.86527
433,-0.0251303,-0.564516,-1.86527
434,-0.0251303,-0.564516,-1.86527
435,-0.0251303,-0.564516,-1.86527
436,-0.0251303,-0.564516,-1.86527
437,-0.0251303,-0.564516,-1.86527
438,-0.0251303,-0.564516,-1.86527
439,-0.0251303,-0.564516,-1.86527
440,-0.0251303,-0.564516,-1.86527
441,-0.0251303,-0.564516,-1.86527
442,-0.0251303,-0.564516,-1.86527
443,-0.0251303,-0.564516,-1.86527
444,-0.0251303,-0.564516,-1.86527
445,-0.0251303,-0.564516,-1.86527
446,-0.0251303,-0.564516,-1.86527
447,-0.0251303,-0.564516,-1.86527
448,-0.0251303,-0.564516,-1.86527
449,-0.0251303,-0.564516,-1.86527
450,-0.0251303,-0.564516,-1.86527
451,-0.0251303,-0.564516,-1.86527
452,-0.0251303,-0.564516,-1.86527
453,-0.0251303,-0.564516,-1.86527
454,-0.0251303,-0.564516,-1.86527
455,-0.0251303,-0.564516,-1.86527
456,-0.0251303,-0.564516,-1.86527
457,-0.0251303,-0.564516,-1.86527
458,-0.0251303,-0.564516,-1.86527
459,-0.0251303,-0.564516,-1.86527
460,-0.0251303,-0.564516,-1.86527
461,-0.0251303,-0.564516,-1.86527
462,-0.0251303,-0.564516,-1.86527
463,-0.0251303,-0.564516,-1.86527
464,-0.0251303,-0.564516,-1.86527
465,-0.0251303,-0.564516,-1.86527
466,-0.0251303,-0.564516,-1.86527
467,-0.0251303,-0.564516,-1.86527
468,-0.0251303,-0.564516,-1.86527
469,-0.0251303,-0.564516,-1.86527
470,-0.0251303,-0.564516,-1.86527
471,-0.0251303,-0.564516,-1.86527
472,-0.0251303,-0.564516,-1.86527
473,-0.0251303,-0.564516,-1.86527
474,-0.0251303,-0.564516,-1.86527
475,-0.0251303,-0.564516,-1.86527
476,-0.0251303,-0.564516,-1.86527
477,-0.0251303,-0.564516,-1.86527
478,-0.0251303,-0.564516,-1.86527
479,-0.0251303,-0.564516,-1.86527
480,-0.0251303,-0.564516,-1.86527
481,-0.0251303,-0.564516,-1.86527
482,-0.0251303,-0.564516,-1.86527
483,-0.0251303,-0.564516,-1.86527
484,-0.0251303,-0.564516,-1.86527
485,-0.0251303,-0.564516,-1.86527
486,-0.0251303,-0.564516,-1.86527
487,-0.0251303,-0.564516,-1.86527
488,-0.0251303,-0.564516,-1.86527
489,-0.0251303,-0.564516,-1.86527
490,-0.0251303,-0.564516,-1.86527
491,-0.0251303,-0.564516,-1.86527
492,-0.0251303,-0.564516,-1.86527
493,-0.0251303,-0.564516,-1.86527
494,-0.0251303,-0.564516,-1.86527
495,-0.0251303,-0.564516,-1.86527
496,-0.0251303,-0.564516,-1.86527
497,-0.0251303,-0.564516,-1.86527
498,-0.0251303,-0.564516,-1.86527
499,-0.0251303,-0.564516,-1.86527
500,-0.0251303,-0.564516,-1.86527
501,-0.0251303,-0.564516,-1.86527
502,-0.0251303,-0.564516,-1.86527
503,-0.0251303,-0.564516,-1.86527
504,-0.0251303,-0.564516,-1.86527
505,-0.0251303,-0.564516,-1.86527
506,-0.0251303,-0.564516,-1.86527
507,-0.0251303,-0.564516,-1.86527
508,-0.0251303,-0.564516,-1.86527
509,-0.0251303,-0.564516,-1.86527
510,-0.0251303,-0.564516,-1.86527
511,-0.0251303,-0.564516,-1.86527
512,-0.0251303,-0.564516,-1.86527
513,-0.0251303,-0.564516,-1.86527
514,-0.0251303,-0.564516,-1.86527
515,-0.0251303,-0.564516,-1.86527
516,-0.0251303,-0.564516,-1.86527
517,-0.0251303,-0.564516,-1.86527
518,-0.0251303,-0.564516,-1.86527
519,-0.0251303,-0.564516,-1.86527
520,-0.0251303,-0.564516,-1.86527
521,-0.0251303,-0.564516,-1.86527
522,-0.0251303,-0.564516,-1.86527
523,-0.0251303,-0.564516,-1.86527
524,-0.0251303,-0.564516,-1.86527
525,-0.0251303,-0.564516,-1.86527
526,-0.0251303,-0.564516,-1.86527
527,-0.0251303,-0.564516,-1.86527
528,-0.0251303,-0.564516,-1.86527
529,-0.0251303,-0.564516,-1.86527
530,-0.0251303,-0.564516,-1.86527
531,-0.0251303,-0.564516,-1.86527
532,-0.0251303,-0.564516,-1.86527
533,-0.0251303,-0.564516,-1.86527
534,-0.0251303,-0.564516,-1.86527
535,-0.0251303,-0.564516,-1.86527
536,-0.0251303,-0.564516,-1.86527
537,-0.0251303,-0.564516,-1.86527
538,-0.0251303,-0.564516,-1.86527
539,-0.0251303,-0.564516,-1.86527
540,-0.0251303,-0.564516,-1.86527
541,-0.0251303,-0.564516,-1.86527
542,-0.0251303,-0.564516,-1.86527
543,-0.0251303,-0.564516,-1.86527
544,-0.0251303,-0.564516,-1.86527
545,-0.0251303,-0.564516,-1.86527
546,-0.0251303,-0.564516,-1.86527
547,-0.0251303,-0.564516,-1.86527
548,-0.0251303,-0.564516,-1.86527
549,-0.0251303,-0.564516,-1.86527
550,-0.0251303,-0.564516,-1.86527
551,-0.0251303,-0.564516,-1.86527
552,-0.0251303,-0.564516,-1.86527
553,-0.0251303,-0.564516,-1.86527
554,-0.0251303,-0.564516,-1.86527
555,-0.0251303,-0.564516,-1.86527
556,-0.0251303,-0.564516,-1.86527
557,-0.0251303,-0.564516,-1.86527
558,-0.0251303,-0.564516,-1.86527
559,-0.0251303,-0.564516,-1.86527
560,-0.0251303,-0.564516,-1.86527
561,-0.0251303,-0.564516,-1.86527
562,-0.0251303,-0.564516,-1.86527
563,-0.0251303,-0.564516,-1.86527
564,-0.0251303,-0.564516,-1.86527
565,-0.0251303,-0.564516,-1.86527
566,-0.0251303,-0.564516,-1.86527
567,-0.0251303,-0.564516,-1.86527
568,-0.0251303,-0.564516,-1.86527
569,-0.0251303,-0.564516,-1.86527
